img_size,feature_count,train_r2,test_r2,r2_gap,rmse_test,duration_sec,converged_epoch,acc_within_5_pct,learning_rate,max_depth,rate_drop,skip_drop,subsample
32x32,1026,0.12500807963471117,0.015687867545831513,0.10932021208887965,0.3291590207580203,1.8307220935821533,4,0.0,0.1,5,0.05,0.5,0.5
32x32,1026,0.020901941671340962,0.0051413741363911525,0.01576056753494981,0.33091772308800826,1.5664784908294678,0,0.5555555555555556,0.1,5,0.05,0.5,0.6
32x32,1026,0.02676044661003174,0.00217032470916656,0.02459012190086518,0.33141148166954515,1.5557103157043457,0,1.1111111111111112,0.1,5,0.05,0.5,0.7
32x32,1026,0.13241532435006365,0.007668855276526498,0.12474646907353715,0.3304971004094344,1.6018986701965332,3,2.2222222222222223,0.1,5,0.05,0.5,0.8
32x32,1026,0.06408942880611623,0.003711133963333335,0.0603782948427829,0.3311555065411468,1.6046712398529053,1,1.1111111111111112,0.1,5,0.05,0.5,0.9
32x32,1026,0.07884997992599119,0.010461934201317247,0.06838804572467394,0.3300316534848841,1.551323652267456,2,0.5555555555555556,0.1,5,0.05,0.3,0.5
32x32,1026,0.01863207642028486,0.0042844799535975975,0.014347596466687262,0.3310602058646237,1.4805595874786377,0,0.5555555555555556,0.1,5,0.05,0.3,0.6
32x32,1026,0.02382676369709935,0.0016740522652559653,0.022152711431843386,0.33149388548313735,1.4099526405334473,0,1.1111111111111112,0.1,5,0.05,0.3,0.7
32x32,1026,0.12325319124787837,0.006805896723184102,0.11644729452469427,0.33064077388099455,1.6052393913269043,3,1.1111111111111112,0.1,5,0.05,0.3,0.8
32x32,1026,0.06127631831179092,0.0037108799417798766,0.057565438370011046,0.3311555487581351,1.4746801853179932,1,0.5555555555555556,0.1,5,0.05,0.3,0.9
32x32,1026,0.0821398582992926,0.009528261535194815,0.07261159676409779,0.33018731646161137,1.61399507522583,2,0.0,0.1,5,0.05,0.2,0.5
32x32,1026,0.021392985629926753,0.00532163036665434,0.016071355263272413,0.33088774260538134,1.571608543395996,0,0.5555555555555556,0.1,5,0.05,0.2,0.6
32x32,1026,0.027396091092760644,0.0022711842359846024,0.02512490685677604,0.3313947318921234,1.5410981178283691,0,1.1111111111111112,0.1,5,0.05,0.2,0.7
32x32,1026,0.12823223293421693,0.0052392784701978945,0.12299295446401903,0.3309014398315225,1.6814930438995361,3,0.5555555555555556,0.1,5,0.05,0.2,0.8
32x32,1026,0.06725877484616505,0.0038658677970845323,0.06339290704908052,0.3311297896268273,1.5200247764587402,1,1.6666666666666667,0.1,5,0.05,0.2,0.9
