pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
RawPixels,N,0.6274509803921569,0.6125549780087964,0.6170237787238047,27.28,0.5,0.01,2,100,0.3,0.1,1.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,27.58,0.5,0.01,2,100,0.3,0.1,5.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,27.52,0.5,0.01,2,100,0.3,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,26.57,0.5,0.01,2,100,0.3,0.1,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,26.48,0.5,0.01,2,100,0.3,1.0,1.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,27.0,0.5,0.01,2,100,0.3,1.0,1.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,26.76,0.5,0.01,2,100,0.3,1.0,1.0,0.5,0.8
RawPixels,N,0.5294117647058824,0.4092664092664092,0.42493754258460137,25.77,0.5,0.01,2,100,0.3,1.0,5.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,23.57,0.5,0.01,2,100,0.3,1.0,5.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,23.54,0.5,0.01,2,100,0.3,1.0,5.0,0.5,0.8
RawPixels,N,0.6274509803921569,0.6056166056166056,0.6110751993104934,44.34,0.5,0.01,2,150,0.1,0.1,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,44.31,0.5,0.01,2,150,0.1,0.1,1.0,0.5,0.7
RawPixels,N,0.6862745098039216,0.6802507836990596,0.6828323806011434,44.66,0.5,0.01,2,150,0.1,0.1,1.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,44.08,0.5,0.01,2,150,0.1,0.1,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,44.08,0.5,0.01,2,150,0.1,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,44.63,0.5,0.01,2,150,0.1,0.1,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,44.23,0.5,0.01,2,150,0.1,1.0,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,44.81,0.5,0.01,2,150,0.1,1.0,1.0,0.5,0.7
RawPixels,N,0.6470588235294118,0.6357142857142857,0.6394957983193277,44.79,0.5,0.01,2,150,0.1,1.0,1.0,0.5,0.8
RawPixels,N,0.6078431372549019,0.5588235294117647,0.5674740484429066,44.24,0.5,0.01,2,150,0.1,1.0,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,44.73,0.5,0.01,2,150,0.1,1.0,5.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5641025641025641,0.5701357466063348,44.81,0.5,0.01,2,150,0.1,1.0,5.0,0.5,0.8
RawPixels,N,0.6274509803921569,0.6056166056166056,0.6110751993104934,41.59,0.5,0.01,2,150,0.3,0.1,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,41.6,0.5,0.01,2,150,0.3,0.1,1.0,0.5,0.7
RawPixels,N,0.6666666666666666,0.6582577847851794,0.6614111154907372,40.73,0.5,0.01,2,150,0.3,0.1,1.0,0.5,0.8
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,40.62,0.5,0.01,2,150,0.3,0.1,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,40.47,0.5,0.01,2,150,0.3,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,40.21,0.5,0.01,2,150,0.3,0.1,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,40.06,0.5,0.01,2,150,0.3,1.0,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5717712914834066,0.5767104922736788,40.92,0.5,0.01,2,150,0.3,1.0,1.0,0.5,0.7
RawPixels,N,0.6470588235294118,0.6357142857142857,0.6394957983193277,40.33,0.5,0.01,2,150,0.3,1.0,1.0,0.5,0.8
RawPixels,N,0.6078431372549019,0.5588235294117647,0.5674740484429066,40.53,0.5,0.01,2,150,0.3,1.0,5.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,40.54,0.5,0.01,2,150,0.3,1.0,5.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5641025641025641,0.5701357466063348,40.57,0.5,0.01,2,150,0.3,1.0,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5296442687747036,0.5394094396651941,12.56,0.5,0.01,3,50,0.1,0.1,1.0,0.5,0.6
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,12.89,0.5,0.01,3,50,0.1,0.1,1.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,13.23,0.5,0.01,3,50,0.1,0.1,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,13.53,0.5,0.01,3,50,0.1,0.1,5.0,0.5,0.6
RawPixels,N,0.49019607843137253,0.38611111111111107,0.4009803921568627,13.3,0.5,0.01,3,50,0.1,0.1,5.0,0.5,0.7
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,13.82,0.5,0.01,3,50,0.1,0.1,5.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.36003861003861004,0.37701567113331824,13.09,0.5,0.01,3,50,0.1,1.0,1.0,0.5,0.6
RawPixels,N,0.5098039215686274,0.4207178555202181,0.4340807654274795,13.9,0.5,0.01,3,50,0.1,1.0,1.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.5147058823529412,0.5242214532871973,13.34,0.5,0.01,3,50,0.1,1.0,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,13.77,0.5,0.01,3,50,0.1,1.0,5.0,0.5,0.6
RawPixels,N,0.47058823529411764,0.32,0.33882352941176475,13.44,0.5,0.01,3,50,0.1,1.0,5.0,0.5,0.7
RawPixels,N,0.5098039215686274,0.39773264052905055,0.4130150879435383,13.96,0.5,0.01,3,50,0.1,1.0,5.0,0.5,0.8
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,12.43,0.5,0.01,3,50,0.3,0.1,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5432835820895523,0.55171202809482,12.21,0.5,0.01,3,50,0.3,0.1,1.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5588235294117647,0.5674740484429066,12.62,0.5,0.01,3,50,0.3,0.1,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.41,0.5,0.01,3,50,0.3,0.1,5.0,0.5,0.6
RawPixels,N,0.45098039215686275,0.3108108108108108,0.32909379968203495,12.13,0.5,0.01,3,50,0.3,0.1,5.0,0.5,0.7
RawPixels,N,0.5294117647058824,0.43333333333333335,0.4470588235294118,12.76,0.5,0.01,3,50,0.3,0.1,5.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.36003861003861004,0.37701567113331824,12.38,0.5,0.01,3,50,0.3,1.0,1.0,0.5,0.6
RawPixels,N,0.5098039215686274,0.4207178555202181,0.4340807654274795,12.31,0.5,0.01,3,50,0.3,1.0,1.0,0.5,0.7
RawPixels,N,0.5686274509803921,0.49910714285714286,0.5100840336134455,12.57,0.5,0.01,3,50,0.3,1.0,1.0,0.5,0.8
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.36,0.5,0.01,3,50,0.3,1.0,5.0,0.5,0.6
RawPixels,N,0.49019607843137253,0.32894736842105265,0.34829721362229105,12.36,0.5,0.01,3,50,0.3,1.0,5.0,0.5,0.7
RawPixels,N,0.47058823529411764,0.32,0.33882352941176475,12.3,0.5,0.01,3,50,0.3,1.0,5.0,0.5,0.8
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,24.32,0.5,0.01,3,100,0.1,0.1,1.0,0.5,0.6
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,24.68,0.5,0.01,3,100,0.1,0.1,1.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5887096774193548,0.5939278937381404,24.95,0.5,0.01,3,100,0.1,0.1,1.0,0.5,0.8
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,24.7,0.5,0.01,3,100,0.1,0.1,5.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,24.65,0.5,0.01,3,100,0.1,0.1,5.0,0.5,0.7
RawPixels,N,0.6078431372549019,0.5805921052631579,0.5868808049535603,24.88,0.5,0.01,3,100,0.1,0.1,5.0,0.5,0.8
RawPixels,N,0.5686274509803921,0.5277777777777778,0.5359477124183007,24.57,0.5,0.01,3,100,0.1,1.0,1.0,0.5,0.6
RawPixels,N,0.5882352941176471,0.5546777546777547,0.5618686559863031,24.55,0.5,0.01,3,100,0.1,1.0,1.0,0.5,0.7
RawPixels,N,0.5882352941176471,0.5641025641025641,0.5701357466063348,25.34,0.5,0.01,3,100,0.1,1.0,1.0,0.5,0.8
RawPixels,N,0.5294117647058824,0.4092664092664092,0.42493754258460137,24.54,0.5,0.01,3,100,0.1,1.0,5.0,0.5,0.6
