uuid,agricapture_file,terrascan_file,ssim,hist_cosine,glcm_cosine,cls_cosine,L_mean_ac,L_mean_ts,L_delta,A_mean_ac,A_mean_ts,A_delta,B_mean_ac,B_mean_ts,B_delta,sharpness_ac,sharpness_ts,entropy_ac,entropy_ts,kp_count_ac,kp_count_ts,similarity_verdict,quality_winner
9de47a85,latrinidad_balili_bsuback_20260121_060909_9de47a85_processed.jpg,latrinidad_balili_bsuback_20260121_060909_9de47a85.png,0.2446,0.358,0.9259,0.999,159.43,92.92,66.5,133.83,136.14,2.32,138.64,142.6,3.96,1541.83,4918.42,3.6895,3.5297,458,471,CLOSE,Mixed / Unclear
9fd06765,latrinidad_balili_bsuback_20260121_060915_9fd06765_processed.jpg,latrinidad_balili_bsuback_20260121_060915_9fd06765.png,0.2397,0.2335,0.9474,0.9984,153.34,78.2,75.13,133.75,136.81,3.06,137.47,142.14,4.67,1077.2,3744.63,3.4518,3.3435,455,465,CLOSE,Mixed / Unclear
a18676dc,latrinidad_balili_bsuback_20260121_003130_a18676dc_processed.jpg,latrinidad_balili_bsuback_20260121_003130_a18676dc.png,0.1016,0.6901,0.9879,0.9818,222.71,194.45,28.26,128.24,130.94,2.7,140.72,149.3,8.58,636.8,2589.97,1.1392,0.9635,445,450,CLOSE,Mixed / Unclear
a60e8ff8,atok_paoay_20260213_020233_a60e8ff8_processed.jpg,atok_paoay_20260213_020233_a60e8ff8.png,0.4576,0.5485,0.9605,0.9997,165.01,125.67,39.34,139.88,140.32,0.44,150.59,149.43,1.17,3484.54,8139.12,4.88,4.7418,470,473,EQUIVALENT,Mixed / Unclear
ab7d4593,latrinidad_balili_bsuback_20260121_003300_ab7d4593_processed.jpg,latrinidad_balili_bsuback_20260121_003300_ab7d4593.png,0.1251,0.8173,0.9673,0.9932,217.02,190.59,26.44,128.7,130.92,2.23,142.8,152.01,9.21,1096.77,3826.55,1.4309,1.2865,473,477,CLOSE,Mixed / Unclear
b78157dd,atok_paoay_20260206_003011_b78157dd_processed.jpg,atok_paoay_20260206_003011_b78157dd.png,0.3413,0.9547,0.9916,0.9953,169.38,151.69,17.69,131.57,129.79,1.78,134.61,131.78,2.83,6570.18,14372.98,6.2644,5.9249,466,461,EQUIVALENT,AgriCap (TerraScan lost data)
d425a444,latrinidad_balili_20260121_054249_d425a444_processed.jpg,latrinidad_balili_20260121_054249_d425a444.png,0.1131,0.1229,0.997,0.9936,152.69,59.98,92.71,131.35,133.99,2.64,131.17,133.46,2.29,227.08,865.85,1.6466,1.5235,435,461,CLOSE,Mixed / Unclear
d65883dc,atok_paoay_20260206_000422_d65883dc_processed.jpg,atok_paoay_20260206_000422_d65883dc.png,0.1463,0.4957,0.9862,0.9598,220.54,203.18,17.36,129.63,132.4,2.78,145.75,149.3,3.56,1917.89,5221.48,2.4832,2.4564,449,439,MODERATE_DIVERGENCE,AgriCap (TerraScan lost data)
e1b52b48,latrinidad_betag_sf_20260116_111330_e1b52b48_processed.jpg,latrinidad_betag_sf_20260116_111330_e1b52b48.png,0.0827,0.8357,0.9907,0.9923,227.48,210.43,17.05,128.65,131.48,2.83,144.32,157.18,12.87,380.47,2321.19,0.7642,0.6965,366,408,CLOSE,Mixed / Unclear
ec4306fb,atok_paoay_20260213_012258_ec4306fb_processed.jpg,atok_paoay_20260213_012258_ec4306fb.png,0.432,0.5964,0.9845,0.9997,156.0,117.1,38.9,133.98,132.91,1.07,147.9,143.31,4.59,6077.14,13795.73,5.7549,5.6493,465,468,EQUIVALENT,Mixed / Unclear
ec88f187,latrinidad_balili_20260121_054244_ec88f187_processed.jpg,latrinidad_balili_20260121_054244_ec88f187.png,0.1116,0.1232,0.9932,0.998,154.54,64.02,90.52,131.37,133.33,1.95,130.79,132.0,1.21,305.18,1268.31,1.639,1.4554,420,444,EQUIVALENT,Mixed / Unclear
ed6fc014,atok_paoay_20260213_020214_ed6fc014_processed.jpg,atok_paoay_20260213_020214_ed6fc014.png,0.4511,0.5755,0.9682,0.9995,172.34,142.4,29.94,139.71,139.23,0.48,155.09,151.67,3.42,4341.12,9624.12,5.063,4.8328,464,470,EQUIVALENT,Mixed / Unclear
f4faec79,latrinidad_betag_sf_20260116_100120_f4faec79_processed.jpg,latrinidad_betag_sf_20260116_100120_f4faec79.png,0.1019,0.8447,0.9187,0.9973,206.96,181.48,25.48,130.45,133.74,3.29,140.79,150.62,9.83,1527.54,9516.55,1.498,1.3942,439,449,CLOSE,Mixed / Unclear
f746b179,latrinidad_betag_sf_20260121_051307_f746b179_processed.jpg,latrinidad_betag_sf_20260121_051307_f746b179.png,0.1224,0.0495,0.9985,0.9986,146.34,48.76,97.58,130.52,132.01,1.49,131.35,133.67,2.32,137.09,508.06,1.8695,1.7877,375,440,EQUIVALENT,Mixed / Unclear
f781136b,latrinidad_balili_bsuback_20260121_003133_f781136b_processed.jpg,latrinidad_balili_bsuback_20260121_003133_f781136b.png,0.0941,0.6517,0.9902,0.9697,225.26,197.08,28.18,127.97,129.54,1.57,139.24,147.43,8.19,646.68,2528.13,0.9942,0.8728,438,444,MODERATE_DIVERGENCE,Mixed / Unclear
fc1e061b,atok_paoay_20260213_011314_fc1e061b_processed.jpg,atok_paoay_20260213_011314_fc1e061b.png,0.1488,0.694,0.9746,0.9728,189.72,148.07,41.65,136.27,143.86,7.59,145.46,157.21,11.76,1484.0,6254.99,1.7016,1.57,455,459,CLOSE,Mixed / Unclear
fe0d4ddb,latrinidad_balili_bsuback_20260121_004256_fe0d4ddb_processed.jpg,latrinidad_balili_bsuback_20260121_004256_fe0d4ddb.png,0.1235,0.776,0.9817,0.9957,227.99,208.17,19.82,127.58,128.5,0.91,141.94,150.08,8.15,698.83,2178.14,1.3477,1.1203,434,459,EQUIVALENT,Mixed / Unclear
