accuracy,macro_f1,weighted_f1,booster,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
0.905727923627685,0.9052715914428667,0.9053094542817309,dart,0.7,0.05,4,150,0.1,0.5,0.7
0.9033412887828163,0.9025191419303668,0.9025825776599803,dart,0.7,0.05,4,150,0.1,0.5,0.8
0.9021479713603818,0.9010353292989777,0.9011097798418178,dart,0.7,0.05,4,150,0.1,0.5,0.9
0.9021479713603818,0.9015333265121337,0.9015893820400009,dart,0.7,0.05,4,150,0.2,0.5,0.7
0.9021479713603818,0.9014111655690521,0.9014657696330758,dart,0.7,0.05,4,150,0.2,0.5,0.8
0.9045346062052506,0.9035215771843345,0.9035999457541216,dart,0.7,0.05,4,150,0.2,0.5,0.9
0.9200477326968973,0.9197369534099101,0.9197799261335422,dart,0.7,0.05,4,250,0.1,0.5,0.7
0.918854415274463,0.9186057420052295,0.9186355345381224,dart,0.7,0.05,4,250,0.1,0.5,0.8
0.9164677804295943,0.9160222371628004,0.9160680626996315,dart,0.7,0.05,4,250,0.1,0.5,0.9
0.9212410501193318,0.9209775319456034,0.9210189676021528,dart,0.7,0.05,4,250,0.2,0.5,0.7
0.9152744630071599,0.9149636510310792,0.9149939127506778,dart,0.7,0.05,4,250,0.2,0.5,0.8
0.9164677804295943,0.9159914300437488,0.9160431180560845,dart,0.7,0.05,4,250,0.2,0.5,0.9
0.931980906921241,0.9318715087446497,0.9319146377877511,dart,0.7,0.05,4,350,0.1,0.5,0.7
0.9284009546539379,0.9282025681491926,0.9282322070919047,dart,0.7,0.05,4,350,0.1,0.5,0.8
0.9331742243436754,0.9330988142660711,0.9331350065141704,dart,0.7,0.05,4,350,0.1,0.5,0.9
0.9331742243436754,0.9330773396385748,0.9331134806345798,dart,0.7,0.05,4,350,0.2,0.5,0.7
0.9272076372315036,0.9270458694166726,0.9270819334767395,dart,0.7,0.05,4,350,0.2,0.5,0.8
0.9272076372315036,0.9270446795540057,0.9270719656284879,dart,0.7,0.05,4,350,0.2,0.5,0.9
0.9260143198090692,0.9258769928149452,0.9259040172547528,dart,0.7,0.05,6,150,0.1,0.5,0.7
0.9295942720763724,0.9295509274551057,0.9295855772109923,dart,0.7,0.05,6,150,0.1,0.5,0.8
0.9343675417661098,0.934561951530667,0.9345917771225228,dart,0.7,0.05,6,150,0.1,0.5,0.9
0.9212410501193318,0.9211141523788264,0.9211546281721762,dart,0.7,0.05,6,150,0.2,0.5,0.7
0.9343675417661098,0.934386718645024,0.934422710374458,dart,0.7,0.05,6,150,0.2,0.5,0.8
0.9355608591885441,0.9356131712091668,0.9356452941199399,dart,0.7,0.05,6,150,0.2,0.5,0.9
0.9355608591885441,0.93538576331931,0.9354129893277031,dart,0.7,0.05,6,250,0.1,0.5,0.7
0.9379474940334129,0.9378402515542003,0.9378667425929235,dart,0.7,0.05,6,250,0.1,0.5,0.8
0.9415274463007159,0.9414351694657074,0.9414549317973068,dart,0.7,0.05,6,250,0.1,0.5,0.9
0.9403341288782816,0.9402316394668772,0.940253893563467,dart,0.7,0.05,6,250,0.2,0.5,0.7
0.9367541766109785,0.936715106001892,0.9367453314746617,dart,0.7,0.05,6,250,0.2,0.5,0.8
0.9415274463007159,0.941398464011417,0.9414280417896492,dart,0.7,0.05,6,250,0.2,0.5,0.9
0.9403341288782816,0.9401053981870231,0.9401227741118429,dart,0.7,0.05,6,350,0.1,0.5,0.7
0.9451073985680191,0.9450676045342412,0.9450957993967647,dart,0.7,0.05,6,350,0.1,0.5,0.8
0.9415274463007159,0.9414367376125571,0.9414562669215684,dart,0.7,0.05,6,350,0.1,0.5,0.9
0.9415274463007159,0.9413492772125821,0.9413640554778878,dart,0.7,0.05,6,350,0.2,0.5,0.7
0.9427207637231504,0.9426612153404869,0.9426944331865187,dart,0.7,0.05,6,350,0.2,0.5,0.8
0.9439140811455847,0.9438244706714997,0.9438595607548879,dart,0.7,0.05,6,350,0.2,0.5,0.9
0.9355608591885441,0.9355695703130671,0.935586867196086,dart,0.7,0.05,8,150,0.1,0.5,0.7
0.9379474940334129,0.9380380304517659,0.9380565640000563,dart,0.7,0.05,8,150,0.1,0.5,0.8
0.9415274463007159,0.9416531296953699,0.9416546147516252,dart,0.7,0.05,8,150,0.1,0.5,0.9
0.9391408114558473,0.9391708481687323,0.9391968644121087,dart,0.7,0.05,8,150,0.2,0.5,0.7
0.9379474940334129,0.937997755145575,0.9380264761121017,dart,0.7,0.05,8,150,0.2,0.5,0.8
0.9415274463007159,0.9415444963292562,0.9415613283419731,dart,0.7,0.05,8,150,0.2,0.5,0.9
0.9439140811455847,0.9438119225097894,0.9438371400448339,dart,0.7,0.05,8,250,0.1,0.5,0.7
0.9391408114558473,0.9391903944187374,0.9392107934106839,dart,0.7,0.05,8,250,0.1,0.5,0.8
0.9403341288782816,0.9403661300933982,0.9403887051700035,dart,0.7,0.05,8,250,0.1,0.5,0.9
0.9451073985680191,0.9450343998256842,0.9450633712156241,dart,0.7,0.05,8,250,0.2,0.5,0.7
0.9379474940334129,0.9378934265726083,0.9379146391063565,dart,0.7,0.05,8,250,0.2,0.5,0.8
0.9415274463007159,0.9414550014120235,0.9414801752268595,dart,0.7,0.05,8,250,0.2,0.5,0.9
0.9439140811455847,0.9437945399401352,0.9438202826271376,dart,0.7,0.05,8,350,0.1,0.5,0.7
0.9451073985680191,0.9450459070814328,0.9450641880326015,dart,0.7,0.05,8,350,0.1,0.5,0.8
0.9474940334128878,0.9474197195469459,0.9474529905018155,dart,0.7,0.05,8,350,0.1,0.5,0.9
0.9439140811455847,0.9438139743030037,0.943839763372734,dart,0.7,0.05,8,350,0.2,0.5,0.7
0.9451073985680191,0.945079417246049,0.9451028205553923,dart,0.7,0.05,8,350,0.2,0.5,0.8
0.9451073985680191,0.9449715572128168,0.9449995228454562,dart,0.7,0.05,8,350,0.2,0.5,0.9
0.9272076372315036,0.9270148349952211,0.9270498636399127,dart,0.7,0.1,4,150,0.1,0.5,0.7
0.9260143198090692,0.9257458797051504,0.9257933533312255,dart,0.7,0.1,4,150,0.1,0.5,0.8
0.9331742243436754,0.9330397841992235,0.9330813783993505,dart,0.7,0.1,4,150,0.1,0.5,0.9
0.9272076372315036,0.9270692787419591,0.9271165129024328,dart,0.7,0.1,4,150,0.2,0.5,0.7
0.9248210023866349,0.9245207018747214,0.9245576668040609,dart,0.7,0.1,4,150,0.2,0.5,0.8
0.9295942720763724,0.9293469207652116,0.9293942143685463,dart,0.7,0.1,4,150,0.2,0.5,0.9
0.9427207637231504,0.9425180350609745,0.9425602538576484,dart,0.7,0.1,4,250,0.1,0.5,0.7
0.9427207637231504,0.9425235337528911,0.9425565915509071,dart,0.7,0.1,4,250,0.1,0.5,0.8
0.9463007159904535,0.9461485395799192,0.946180895350857,dart,0.7,0.1,4,250,0.1,0.5,0.9
0.9391408114558473,0.9389051623984612,0.9389503331142605,dart,0.7,0.1,4,250,0.2,0.5,0.7
0.9415274463007159,0.9413767779521848,0.9414031578069413,dart,0.7,0.1,4,250,0.2,0.5,0.8
0.9439140811455847,0.9437583515337966,0.9438043388840863,dart,0.7,0.1,4,250,0.2,0.5,0.9
0.9451073985680191,0.9449623361615351,0.9450110920119876,dart,0.7,0.1,4,350,0.1,0.5,0.7
0.9486873508353222,0.9484925041562946,0.9485096673568604,dart,0.7,0.1,4,350,0.1,0.5,0.8
0.9486873508353222,0.9484639105236808,0.9485064948539196,dart,0.7,0.1,4,350,0.1,0.5,0.9
0.9439140811455847,0.9436493163803855,0.9436959524266447,dart,0.7,0.1,4,350,0.2,0.5,0.7
0.9463007159904535,0.9460609837879683,0.9460883298010855,dart,0.7,0.1,4,350,0.2,0.5,0.8
0.9463007159904535,0.9461316391311303,0.9461732026885015,dart,0.7,0.1,4,350,0.2,0.5,0.9
0.9403341288782816,0.9403102463636873,0.9403270871494317,dart,0.7,0.1,6,150,0.1,0.5,0.7
0.9451073985680191,0.9449418897935912,0.9449700213861166,dart,0.7,0.1,6,150,0.1,0.5,0.8
0.9451073985680191,0.9449767464053851,0.9450103253395369,dart,0.7,0.1,6,150,0.1,0.5,0.9
0.9379474940334129,0.9378323301028643,0.9378593593102731,dart,0.7,0.1,6,150,0.2,0.5,0.7
0.9451073985680191,0.944906296149468,0.9449397069445844,dart,0.7,0.1,6,150,0.2,0.5,0.8
0.9427207637231504,0.9425513136473419,0.9425892519116535,dart,0.7,0.1,6,150,0.2,0.5,0.9
0.9427207637231504,0.9425313844559061,0.9425535458142111,dart,0.7,0.1,6,250,0.1,0.5,0.7
0.9498806682577565,0.9497339841737882,0.9497540508779327,dart,0.7,0.1,6,250,0.1,0.5,0.8
0.9486873508353222,0.9485570808131724,0.9485791584245574,dart,0.7,0.1,6,250,0.1,0.5,0.9
0.9427207637231504,0.9425260590853283,0.9425535243540706,dart,0.7,0.1,6,250,0.2,0.5,0.7
0.9498806682577565,0.949681191357192,0.9497112746988883,dart,0.7,0.1,6,250,0.2,0.5,0.8
0.9451073985680191,0.9449810374280005,0.945008217315349,dart,0.7,0.1,6,250,0.2,0.5,0.9
0.9439140811455847,0.9437807645135221,0.9438010901468403,dart,0.7,0.1,6,350,0.1,0.5,0.7
0.9486873508353222,0.9485530200354495,0.948574851438789,dart,0.7,0.1,6,350,0.1,0.5,0.8
0.9498806682577565,0.9497538512521152,0.949774163694595,dart,0.7,0.1,6,350,0.1,0.5,0.9
0.9486873508353222,0.9484974419139114,0.9485297988463504,dart,0.7,0.1,6,350,0.2,0.5,0.7
0.951073985680191,0.9508515638685677,0.9508844404620813,dart,0.7,0.1,6,350,0.2,0.5,0.8
0.9474940334128878,0.9473730263980947,0.9473922781039544,dart,0.7,0.1,6,350,0.2,0.5,0.9
0.9415274463007159,0.9413827686785126,0.9414129353391936,dart,0.7,0.1,8,150,0.1,0.5,0.7
0.9427207637231504,0.9424957673601071,0.9425276863138737,dart,0.7,0.1,8,150,0.1,0.5,0.8
0.9439140811455847,0.943869693305242,0.9438952659562674,dart,0.7,0.1,8,150,0.1,0.5,0.9
0.9415274463007159,0.9414414886639866,0.9414700022312674,dart,0.7,0.1,8,150,0.2,0.5,0.7
0.9439140811455847,0.9437330834192625,0.9437628723400416,dart,0.7,0.1,8,150,0.2,0.5,0.8
0.9439140811455847,0.9438478562132572,0.943873376747118,dart,0.7,0.1,8,150,0.2,0.5,0.9
0.9415274463007159,0.941350702281242,0.9413801660696647,dart,0.7,0.1,8,250,0.1,0.5,0.7
0.9486873508353222,0.9485082158943225,0.9485288632629765,dart,0.7,0.1,8,250,0.1,0.5,0.8
0.9463007159904535,0.9462291122942413,0.9462542686630563,dart,0.7,0.1,8,250,0.1,0.5,0.9
0.9391408114558473,0.9390025540805221,0.9390252468015418,dart,0.7,0.1,8,250,0.2,0.5,0.7
0.9474940334128878,0.9473335018787827,0.9473569682449013,dart,0.7,0.1,8,250,0.2,0.5,0.8
0.9451073985680191,0.9449620870841758,0.9449894925677738,dart,0.7,0.1,8,250,0.2,0.5,0.9
0.9427207637231504,0.9425617983325952,0.9425986539510312,dart,0.7,0.1,8,350,0.1,0.5,0.7
0.9498806682577565,0.9496865404018136,0.9497100000007955,dart,0.7,0.1,8,350,0.1,0.5,0.8
0.9474940334128878,0.9474623150656244,0.9474856355662945,dart,0.7,0.1,8,350,0.1,0.5,0.9
0.9439140811455847,0.943881943951486,0.9439012914650331,dart,0.7,0.1,8,350,0.2,0.5,0.7
0.9486873508353222,0.9485599321114251,0.9485863255186717,dart,0.7,0.1,8,350,0.2,0.5,0.8
0.9451073985680191,0.9450031611218443,0.9450306646341718,dart,0.7,0.1,8,350,0.2,0.5,0.9
0.9451073985680191,0.9449938281628957,0.9450278637050478,dart,0.7,0.2,4,150,0.1,0.5,0.7
0.9439140811455847,0.9437754683031835,0.9438169206704776,dart,0.7,0.2,4,150,0.1,0.5,0.8
0.9439140811455847,0.9436994323686132,0.9437404405476428,dart,0.7,0.2,4,150,0.1,0.5,0.9
0.9439140811455847,0.9437626568279497,0.9437993408020943,dart,0.7,0.2,4,150,0.2,0.5,0.7
0.9451073985680191,0.9449189434255201,0.9449518070188607,dart,0.7,0.2,4,150,0.2,0.5,0.8
0.9415274463007159,0.9413773585912107,0.9414217905515601,dart,0.7,0.2,4,150,0.2,0.5,0.9
0.9474940334128878,0.94735839580869,0.9473990068132744,dart,0.7,0.2,4,250,0.1,0.5,0.7
0.9463007159904535,0.9461665710324342,0.9462087221037351,dart,0.7,0.2,4,250,0.1,0.5,0.8
0.9427207637231504,0.9424814834764907,0.9425246727879666,dart,0.7,0.2,4,250,0.1,0.5,0.9
0.9474940334128878,0.947229763366338,0.947260197585673,dart,0.7,0.2,4,250,0.2,0.5,0.7
0.9427207637231504,0.9425270922809645,0.9425646760223311,dart,0.7,0.2,4,250,0.2,0.5,0.8
0.9463007159904535,0.9461225515997216,0.9461639821380604,dart,0.7,0.2,4,250,0.2,0.5,0.9
0.9463007159904535,0.9461091169654059,0.9461512919048777,dart,0.7,0.2,4,350,0.1,0.5,0.7
0.9451073985680191,0.9449800307772287,0.9450238549326311,dart,0.7,0.2,4,350,0.1,0.5,0.8
0.9463007159904535,0.9461346490524275,0.9461812288600379,dart,0.7,0.2,4,350,0.1,0.5,0.9
0.9463007159904535,0.9461086554446856,0.9461509384608747,dart,0.7,0.2,4,350,0.2,0.5,0.7
0.9439140811455847,0.9437657292308211,0.9438111232886661,dart,0.7,0.2,4,350,0.2,0.5,0.8
0.9463007159904535,0.9461266613558064,0.9461681017026321,dart,0.7,0.2,4,350,0.2,0.5,0.9
0.9474940334128878,0.9474033342049308,0.9474471711634287,dart,0.7,0.2,6,150,0.1,0.5,0.7
0.9439140811455847,0.9437314198243344,0.9437478509200825,dart,0.7,0.2,6,150,0.1,0.5,0.8
0.9498806682577565,0.9496978009502152,0.9497226010440276,dart,0.7,0.2,6,150,0.1,0.5,0.9
0.9415274463007159,0.9414589305923824,0.9414983217968006,dart,0.7,0.2,6,150,0.2,0.5,0.7
0.9474940334128878,0.947414939966998,0.9474475803921609,dart,0.7,0.2,6,150,0.2,0.5,0.8
0.9534606205250596,0.9533233437859723,0.9533521753037119,dart,0.7,0.2,6,150,0.2,0.5,0.9
0.9474940334128878,0.9474333730502654,0.9474670386325149,dart,0.7,0.2,6,250,0.1,0.5,0.7
0.9463007159904535,0.9461397484289179,0.946166478407932,dart,0.7,0.2,6,250,0.1,0.5,0.8
0.9486873508353222,0.9484964280978375,0.9485183609533387,dart,0.7,0.2,6,250,0.1,0.5,0.9
0.9451073985680191,0.9450218252239957,0.9450599783901767,dart,0.7,0.2,6,250,0.2,0.5,0.7
0.9474940334128878,0.947393396752978,0.9474279642762077,dart,0.7,0.2,6,250,0.2,0.5,0.8
0.951073985680191,0.9508936571109652,0.9509266474239071,dart,0.7,0.2,6,250,0.2,0.5,0.9
0.9498806682577565,0.9497959402770165,0.9498251607426399,dart,0.7,0.2,6,350,0.1,0.5,0.7
0.9486873508353222,0.948531304432928,0.9485637421828347,dart,0.7,0.2,6,350,0.1,0.5,0.8
0.951073985680191,0.9509398465000906,0.950962332004991,dart,0.7,0.2,6,350,0.1,0.5,0.9
0.9474940334128878,0.9474139456546595,0.9474475648708097,dart,0.7,0.2,6,350,0.2,0.5,0.7
0.9498806682577565,0.9498099818507748,0.9498355528225408,dart,0.7,0.2,6,350,0.2,0.5,0.8
0.9498806682577565,0.9496746408758024,0.949704721842121,dart,0.7,0.2,6,350,0.2,0.5,0.9
0.9498806682577565,0.9499120311076418,0.9499413692735756,dart,0.7,0.2,8,150,0.1,0.5,0.7
0.9451073985680191,0.9448879371783482,0.9449111609328322,dart,0.7,0.2,8,150,0.1,0.5,0.8
0.9463007159904535,0.9462135042585695,0.9462438964180012,dart,0.7,0.2,8,150,0.1,0.5,0.9
0.9486873508353222,0.9486365044005768,0.9486684189119068,dart,0.7,0.2,8,150,0.2,0.5,0.7
0.9498806682577565,0.9497288120378896,0.9497636055203493,dart,0.7,0.2,8,150,0.2,0.5,0.8
0.9463007159904535,0.9461401457301539,0.9461566126499655,dart,0.7,0.2,8,150,0.2,0.5,0.9
0.954653937947494,0.9546082197204733,0.9546390246070748,dart,0.7,0.2,8,250,0.1,0.5,0.7
0.9463007159904535,0.9461081458680993,0.9461241422495597,dart,0.7,0.2,8,250,0.1,0.5,0.8
0.9463007159904535,0.9461819124373516,0.9462122291986421,dart,0.7,0.2,8,250,0.1,0.5,0.9
0.9463007159904535,0.9461935463868942,0.9462098089069331,dart,0.7,0.2,8,250,0.2,0.5,0.7
0.9474940334128878,0.9473306339737853,0.9473650237007037,dart,0.7,0.2,8,250,0.2,0.5,0.8
0.9486873508353222,0.948501970135713,0.9485187922417355,dart,0.7,0.2,8,250,0.2,0.5,0.9
0.9534606205250596,0.9534056761327605,0.9534388409829969,dart,0.7,0.2,8,350,0.1,0.5,0.7
0.9474940334128878,0.9473051845070403,0.9473194545532689,dart,0.7,0.2,8,350,0.1,0.5,0.8
0.9498806682577565,0.9497821855460965,0.9498117702644837,dart,0.7,0.2,8,350,0.1,0.5,0.9
0.9498806682577565,0.9498142447997729,0.9498388382148469,dart,0.7,0.2,8,350,0.2,0.5,0.7
0.9474940334128878,0.9473767623994382,0.9474118088307201,dart,0.7,0.2,8,350,0.2,0.5,0.8
0.9486873508353222,0.9484792621769722,0.9485006542384381,dart,0.7,0.2,8,350,0.2,0.5,0.9
0.9081145584725537,0.9074695709626753,0.907523147272738,dart,0.8,0.05,4,150,0.1,0.5,0.7
0.9021479713603818,0.9015437178985464,0.901604494827713,dart,0.8,0.05,4,150,0.1,0.5,0.8
0.9069212410501193,0.9061098711485701,0.9061728544020149,dart,0.8,0.05,4,150,0.1,0.5,0.9
0.9033412887828163,0.9024769573901229,0.9025402924406427,dart,0.8,0.05,4,150,0.2,0.5,0.7
0.9021479713603818,0.9013018897155972,0.9013706128525737,dart,0.8,0.05,4,150,0.2,0.5,0.8
0.9009546539379475,0.9002415175776919,0.9003034751579153,dart,0.8,0.05,4,150,0.2,0.5,0.9
0.9176610978520287,0.9171801577187322,0.9172273155238355,dart,0.8,0.05,4,250,0.1,0.5,0.7
0.9200477326968973,0.9196524327202982,0.9197069222083406,dart,0.8,0.05,4,250,0.1,0.5,0.8
0.918854415274463,0.9185650486439734,0.9186096837255302,dart,0.8,0.05,4,250,0.1,0.5,0.9
0.9140811455847255,0.9135547121853385,0.9136110066281482,dart,0.8,0.05,4,250,0.2,0.5,0.7
0.9224343675417661,0.9222363843625193,0.9222782744756465,dart,0.8,0.05,4,250,0.2,0.5,0.8
0.9128878281622912,0.9124341933407416,0.912486234425411,dart,0.8,0.05,4,250,0.2,0.5,0.9
0.9331742243436754,0.9331134698875172,0.9331448434395847,dart,0.8,0.05,4,350,0.1,0.5,0.7
0.9331742243436754,0.933072649945926,0.93310853281496,dart,0.8,0.05,4,350,0.1,0.5,0.8
0.9355608591885441,0.9354700404493033,0.9355125347264718,dart,0.8,0.05,4,350,0.1,0.5,0.9
0.9331742243436754,0.9331376265805265,0.9331735514497329,dart,0.8,0.05,4,350,0.2,0.5,0.7
0.931980906921241,0.9319357058390004,0.9319688752376121,dart,0.8,0.05,4,350,0.2,0.5,0.8
0.9272076372315036,0.9271474923458445,0.9271857367641723,dart,0.8,0.05,4,350,0.2,0.5,0.9
0.9367541766109785,0.9367088891930928,0.9367402238014639,dart,0.8,0.05,6,150,0.1,0.5,0.7
0.931980906921241,0.9318998835798785,0.9319250721245294,dart,0.8,0.05,6,150,0.1,0.5,0.8
0.9331742243436754,0.9331244396335718,0.9331784122264399,dart,0.8,0.05,6,150,0.1,0.5,0.9
0.931980906921241,0.9318796841815916,0.9319153393547588,dart,0.8,0.05,6,150,0.2,0.5,0.7
0.9367541766109785,0.9367392571854075,0.9367697134894237,dart,0.8,0.05,6,150,0.2,0.5,0.8
0.9355608591885441,0.9355577075732227,0.9355917551130624,dart,0.8,0.05,6,150,0.2,0.5,0.9
0.9415274463007159,0.941438425142835,0.941468071338877,dart,0.8,0.05,6,250,0.1,0.5,0.7
0.9403341288782816,0.9402577018219592,0.9402760747034823,dart,0.8,0.05,6,250,0.1,0.5,0.8
0.9427207637231504,0.9426811145546784,0.9427044355810148,dart,0.8,0.05,6,250,0.1,0.5,0.9
0.9391408114558473,0.9390782575202831,0.939112154961048,dart,0.8,0.05,6,250,0.2,0.5,0.7
0.9391408114558473,0.9390904321031369,0.9391000182426137,dart,0.8,0.05,6,250,0.2,0.5,0.8
0.9463007159904535,0.9461872706393161,0.9462135954283132,dart,0.8,0.05,6,250,0.2,0.5,0.9
0.9415274463007159,0.9413526432700594,0.9413820847360945,dart,0.8,0.05,6,350,0.1,0.5,0.7
0.9439140811455847,0.9438354466479588,0.9438508386720785,dart,0.8,0.05,6,350,0.1,0.5,0.8
0.9474940334128878,0.9474213485409892,0.9474460384630764,dart,0.8,0.05,6,350,0.1,0.5,0.9
0.9415274463007159,0.9414154391274242,0.9414402537518756,dart,0.8,0.05,6,350,0.2,0.5,0.7
0.9439140811455847,0.9438354466479588,0.9438508386720785,dart,0.8,0.05,6,350,0.2,0.5,0.8
0.9427207637231504,0.9426161479566785,0.9426384920875136,dart,0.8,0.05,6,350,0.2,0.5,0.9
0.9391408114558473,0.9390043731432935,0.9390393006498428,dart,0.8,0.05,8,150,0.1,0.5,0.7
0.9379474940334129,0.9377649226970763,0.9377892596863824,dart,0.8,0.05,8,150,0.1,0.5,0.8
0.9403341288782816,0.9403972828453172,0.9404221748230485,dart,0.8,0.05,8,150,0.1,0.5,0.9
0.9379474940334129,0.937857208517304,0.937870576467593,dart,0.8,0.05,8,150,0.2,0.5,0.7
0.9379474940334129,0.9378153681789583,0.9378390492758089,dart,0.8,0.05,8,150,0.2,0.5,0.8
0.9379474940334129,0.9380832377060456,0.9380969395439208,dart,0.8,0.05,8,150,0.2,0.5,0.9
0.9427207637231504,0.942562005594472,0.9425895566544057,dart,0.8,0.05,8,250,0.1,0.5,0.7
0.9463007159904535,0.9461408970524767,0.9461625310044244,dart,0.8,0.05,8,250,0.1,0.5,0.8
0.9415274463007159,0.941484588590387,0.941495861725123,dart,0.8,0.05,8,250,0.1,0.5,0.9
0.9463007159904535,0.9461178828567979,0.946144798029411,dart,0.8,0.05,8,250,0.2,0.5,0.7
0.9463007159904535,0.946121122739809,0.9461325668629655,dart,0.8,0.05,8,250,0.2,0.5,0.8
0.9427207637231504,0.9426696888418226,0.9427039311151247,dart,0.8,0.05,8,250,0.2,0.5,0.9
0.9451073985680191,0.9449137898721085,0.944946641165799,dart,0.8,0.05,8,350,0.1,0.5,0.7
0.9439140811455847,0.9437738296994427,0.9437895747403866,dart,0.8,0.05,8,350,0.1,0.5,0.8
0.9486873508353222,0.9485723842568097,0.9485898769689902,dart,0.8,0.05,8,350,0.1,0.5,0.9
0.9451073985680191,0.9448709281020832,0.9448946942272737,dart,0.8,0.05,8,350,0.2,0.5,0.7
0.9463007159904535,0.9461746005021271,0.9461907554865326,dart,0.8,0.05,8,350,0.2,0.5,0.8
0.9498806682577565,0.9498284901464819,0.9498543065486693,dart,0.8,0.05,8,350,0.2,0.5,0.9
0.9224343675417661,0.9222090627184203,0.9222563469168621,dart,0.8,0.1,4,150,0.1,0.5,0.7
0.9307875894988067,0.9305638589635816,0.9306051338426903,dart,0.8,0.1,4,150,0.1,0.5,0.8
0.9295942720763724,0.9294315468844838,0.9294698633263696,dart,0.8,0.1,4,150,0.1,0.5,0.9
0.9236276849642004,0.923451991724915,0.9234920864480768,dart,0.8,0.1,4,150,0.2,0.5,0.7
0.9272076372315036,0.9268575432596728,0.9268956098978364,dart,0.8,0.1,4,150,0.2,0.5,0.8
0.9272076372315036,0.9269650011737492,0.927007799752967,dart,0.8,0.1,4,150,0.2,0.5,0.9
0.9391408114558473,0.9388311670646836,0.9388668811085362,dart,0.8,0.1,4,250,0.1,0.5,0.7
0.9403341288782816,0.9402192878150537,0.9402528603022203,dart,0.8,0.1,4,250,0.1,0.5,0.8
0.9427207637231504,0.942611980217835,0.9426548944316463,dart,0.8,0.1,4,250,0.1,0.5,0.9
