pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,28.87,0.5,0.01,2,100,0.3,0.1,1.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,31.04,0.5,0.01,2,100,0.3,0.1,1.0,0.5,0.8
Preprocessed,K,0.6666666666666666,0.6726495726495726,0.6659987071751777,31.21,0.5,0.01,2,100,0.3,0.1,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7889059566478922,0.7821812596006144,30.97,0.5,0.01,2,100,0.3,0.1,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.814028314028314,0.807290483761072,30.94,0.5,0.01,2,100,0.3,0.1,5.0,0.5,0.8
Preprocessed,K,0.7254901960784313,0.7296296296296297,0.7254901960784313,30.7,0.5,0.01,2,100,0.3,1.0,1.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7889059566478922,0.7821812596006144,31.06,0.5,0.01,2,100,0.3,1.0,1.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,30.98,0.5,0.01,2,100,0.3,1.0,1.0,0.5,0.8
Preprocessed,K,0.6470588235294118,0.6528964862298196,0.6477291771409418,30.72,0.5,0.01,2,100,0.3,1.0,5.0,0.5,0.6
Preprocessed,K,0.7254901960784313,0.7316903369534948,0.7285124576146248,30.66,0.5,0.01,2,100,0.3,1.0,5.0,0.5,0.7
Preprocessed,K,0.7647058823529411,0.7774114774114773,0.7685197155785392,30.96,0.5,0.01,2,100,0.3,1.0,5.0,0.5,0.8
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,73.64,0.5,0.01,2,150,0.1,0.1,1.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,73.79,0.5,0.01,2,150,0.1,0.1,1.0,0.5,0.7
Preprocessed,K,0.8235294117647058,0.8267857142857142,0.8202731092436975,73.85,0.5,0.01,2,150,0.1,0.1,1.0,0.5,0.8
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,67.66,0.5,0.01,2,150,0.1,0.1,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,62.64,0.5,0.01,2,150,0.1,0.1,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,62.09,0.5,0.01,2,150,0.1,0.1,5.0,0.5,0.8
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,62.72,0.5,0.01,2,150,0.1,1.0,1.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,63.02,0.5,0.01,2,150,0.1,1.0,1.0,0.5,0.7
Preprocessed,K,0.8431372549019608,0.8451797385620915,0.8397491349480969,62.3,0.5,0.01,2,150,0.1,1.0,1.0,0.5,0.8
Preprocessed,K,0.7450980392156863,0.7483529612561871,0.7430378603054125,62.25,0.5,0.01,2,150,0.1,1.0,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7889059566478922,0.7821812596006144,63.18,0.5,0.01,2,150,0.1,1.0,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,62.77,0.5,0.01,2,150,0.1,1.0,5.0,0.5,0.8
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,55.99,0.5,0.01,2,150,0.3,0.1,1.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,56.12,0.5,0.01,2,150,0.3,0.1,1.0,0.5,0.7
Preprocessed,K,0.8235294117647058,0.8267857142857142,0.8202731092436975,56.67,0.5,0.01,2,150,0.3,0.1,1.0,0.5,0.8
Preprocessed,K,0.7647058823529411,0.7684587813620073,0.764326375711575,56.01,0.5,0.01,2,150,0.3,0.1,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,56.15,0.5,0.01,2,150,0.3,0.1,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,55.72,0.5,0.01,2,150,0.3,0.1,5.0,0.5,0.8
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,55.92,0.5,0.01,2,150,0.3,1.0,1.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,55.97,0.5,0.01,2,150,0.3,1.0,1.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,56.37,0.5,0.01,2,150,0.3,1.0,1.0,0.5,0.8
Preprocessed,K,0.7254901960784313,0.7296296296296297,0.7254901960784313,55.86,0.5,0.01,2,150,0.3,1.0,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7889059566478922,0.7821812596006144,56.37,0.5,0.01,2,150,0.3,1.0,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,56.27,0.5,0.01,2,150,0.3,1.0,5.0,0.5,0.8
Preprocessed,K,0.6666666666666666,0.6726495726495726,0.6659987071751777,7.66,0.5,0.01,3,50,0.1,0.1,1.0,0.5,0.6
Preprocessed,K,0.7450980392156863,0.7513375444409927,0.7468523290024305,7.72,0.5,0.01,3,50,0.1,0.1,1.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.814028314028314,0.807290483761072,8.34,0.5,0.01,3,50,0.1,0.1,1.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.34616079494128277,0.3665231946437112,7.88,0.5,0.01,3,50,0.1,0.1,5.0,0.5,0.6
Preprocessed,K,0.5098039215686274,0.4088793412101683,0.4329310671637076,7.77,0.5,0.01,3,50,0.1,0.1,5.0,0.5,0.7
Preprocessed,K,0.6078431372549019,0.5904761904761905,0.5957983193277311,7.78,0.5,0.01,3,50,0.1,0.1,5.0,0.5,0.8
Preprocessed,K,0.49019607843137253,0.4603174603174603,0.4697478991596638,9.3,0.5,0.01,3,50,0.1,1.0,1.0,0.5,0.6
Preprocessed,K,0.7058823529411765,0.7137907137907139,0.7105295340589459,8.26,0.5,0.01,3,50,0.1,1.0,1.0,0.5,0.7
Preprocessed,K,0.7254901960784313,0.7376068376068377,0.7312217194570136,8.11,0.5,0.01,3,50,0.1,1.0,1.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.34074074074074073,0.3607843137254902,9.25,0.5,0.01,3,50,0.1,1.0,5.0,0.5,0.6
Preprocessed,K,0.5098039215686274,0.4088793412101683,0.4329310671637076,8.05,0.5,0.01,3,50,0.1,1.0,5.0,0.5,0.7
Preprocessed,K,0.5098039215686274,0.40354609929078017,0.42728410513141424,9.26,0.5,0.01,3,50,0.1,1.0,5.0,0.5,0.8
Preprocessed,K,0.5882352941176471,0.5908108108108108,0.5879173290937997,7.11,0.5,0.01,3,50,0.3,0.1,1.0,0.5,0.6
Preprocessed,K,0.7058823529411765,0.7137907137907139,0.7105295340589459,6.93,0.5,0.01,3,50,0.3,0.1,1.0,0.5,0.7
Preprocessed,K,0.7450980392156863,0.7515969410706252,0.7487497023100738,6.98,0.5,0.01,3,50,0.3,0.1,1.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.34074074074074073,0.3607843137254902,7.04,0.5,0.01,3,50,0.3,0.1,5.0,0.5,0.6
